City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,nabire,32,ID,1523127303,98,-3.36,135.5,68.14,1.25
88,sibolga,76,ID,1523127314,100,1.74,98.78,67.69,1.92
89,papetoai,20,PF,1523125800,62,-17.5,-149.87,84.2,6.93
90,mackenzie,1,CA,1523124000,46,55.34,-123.09,28.4,10.29
91,cabra,92,ES,1523125800,87,37.47,-4.43,51.8,4.7
92,omboue,24,GA,1523127305,100,-1.57,9.26,81.91,10.98
93,kapaa,90,US,1523126160,94,22.08,-159.32,73.4,8.05
94,remontnoye,0,RU,1523124000,71,46.56,43.66,50.0,8.95
95,san patricio,0,PY,1523127316,41,-26.98,-56.83,89.65,2.71
96,dalhousie,20,IN,1523127317,65,32.54,75.98,52.2,2.37
97,belyy yar,92,RU,1523124000,93,53.6,91.39,35.6,8.19
98,sri aman,75,MY,1523124000,94,1.24,111.46,75.2,2.26
99,tuatapere,36,NZ,1523127308,100,-46.13,167.69,51.22,14.67
100,kisanga,64,CD,1523127308,78,-11.72,27.4,69.67,4.72
101,ciudad bolivar,68,VE,1523127319,41,8.12,-63.55,92.89,9.75
102,kamyshevatskaya,0,RU,1523127309,75,46.41,37.96,52.2,15.68
103,sao filipe,12,CV,1523127310,89,14.9,-24.5,73.08,19.48
104,severo-kurilsk,92,RU,1523127320,98,50.68,156.12,31.42,25.86
105,bambous virieux,40,MU,1523124000,83,-20.34,57.76,78.8,16.11
106,avarua,90,CK,1523124000,94,-21.21,-159.78,78.8,10.29
107,saskylakh,80,RU,1523127311,77,71.97,114.09,-3.69,7.63
108,nome,90,US,1523124900,93,30.04,-94.42,64.4,13.87
109,saqqez,0,IR,1523127312,76,36.24,46.27,39.79,2.04
110,ostrovnoy,56,RU,1523127323,91,68.05,39.51,28.81,14.45
111,busselton,80,AU,1523127313,100,-33.64,115.35,62.47,7.18
112,santa luzia,40,BR,1523124000,57,-19.77,-43.85,82.4,5.82
113,bria,32,CF,1523127325,63,6.54,21.99,78.31,5.28
114,sabang,92,PH,1523127316,87,13.72,123.58,79.02,15.57
115,toora-khem,80,RU,1523127316,83,52.47,96.11,29.44,2.04
116,san cristobal,75,EC,1523124000,28,-0.39,-78.55,80.6,4.7
117,port macquarie,40,AU,1523124780,100,-31.43,152.91,59.0,3.36
118,kaitangata,20,NZ,1523127328,76,-46.28,169.85,43.38,7.18
119,ancud,88,CL,1523127318,93,-41.87,-73.83,50.95,4.61
120,pamanukan,36,ID,1523127318,100,-6.28,107.82,81.64,7.96
121,carnarvon,0,ZA,1523127319,25,-30.97,22.13,55.45,5.95
122,saint-francois,80,FR,1523125800,51,46.42,3.91,60.8,3.36
123,alcoentre,40,PT,1523125800,76,39.21,-8.96,57.2,6.93
124,kavaratti,0,IN,1523127330,98,10.57,72.64,86.95,8.63
125,dalmatovo,32,RU,1523127331,68,56.26,62.94,22.15,2.59
126,yellowknife,75,CA,1523124000,56,62.45,-114.38,12.2,10.29
127,ilulissat,20,GL,1523123400,73,69.22,-51.1,24.8,4.7
128,marienburg,0,DE,1523125200,45,52.12,9.98,64.4,6.93
129,lakes entrance,0,AU,1523127323,100,-37.88,147.99,53.47,4.83
130,khandyga,0,RU,1523127333,72,62.65,135.58,12.15,2.59
131,saint anthony,90,US,1523125800,87,43.97,-111.68,46.4,8.05
132,trenggalek,36,ID,1523127324,95,-8.05,111.71,69.12,1.92
133,ust-nera,24,RU,1523127325,61,64.57,143.24,1.9,2.71
134,victoria,75,BN,1523125800,83,5.28,115.24,82.4,6.93
135,lorengau,0,PG,1523127327,100,-2.02,147.27,81.37,5.39
136,port alfred,0,ZA,1523127337,91,-33.59,26.89,67.87,17.36
137,lebu,75,ET,1523124000,77,8.96,38.73,60.8,3.15
138,eregli,32,TR,1523127339,53,37.51,34.05,50.4,3.71
139,georgetown,90,GY,1523124000,100,6.8,-58.16,73.4,9.17
140,foshan,0,CN,1523124000,67,23.02,113.11,57.2,8.86
141,raahe,0,FI,1523125200,85,64.68,24.47,32.0,9.17
142,cairns,20,AU,1523125800,78,-16.92,145.77,78.8,10.29
143,north bend,90,US,1523126100,81,43.41,-124.22,53.6,26.4
144,leningradskiy,56,RU,1523127333,86,69.38,178.42,5.22,9.42
145,college,1,US,1523123880,62,64.86,-147.8,26.6,1.7
146,weiden,0,DE,1523125200,51,49.81,7.3,68.0,8.05
147,ixtapa,5,MX,1523123160,42,20.71,-105.21,80.6,9.17
148,pyay,100,MM,1523127334,100,18.82,95.22,70.12,9.19
149,thompson,20,CA,1523124000,43,55.74,-97.86,12.2,9.17
150,porto nacional,20,BR,1523124000,52,-10.7,-48.41,89.6,4.7
151,buchanan,75,LR,1523125800,79,5.88,-10.05,84.2,9.17
152,souillac,92,FR,1523125800,93,45.6,-0.6,53.6,3.36
153,douglas,1,US,1523123760,17,31.34,-109.55,73.4,6.06
154,cidreira,0,BR,1523127348,62,-30.17,-50.22,84.87,0.47
155,khatanga,0,RU,1523127338,40,71.98,102.47,-26.01,3.04
156,longyearbyen,0,NO,1523123400,60,78.22,15.63,8.6,6.93
157,cherskiy,0,RU,1523127339,59,68.75,161.3,2.07,4.5
158,mentakab,32,MY,1523127339,91,3.49,102.35,73.08,2.71
159,edd,12,ER,1523127350,54,13.93,41.69,84.97,5.73
160,sinnar,0,IN,1523127340,80,19.85,74.0,64.18,2.71
161,roros,90,NO,1523125200,74,62.57,11.38,33.8,4.7
162,afua,64,NG,1523127341,96,5.27,7.87,77.41,6.62
163,faya,0,SA,1523124000,77,18.39,42.45,66.2,6.93
164,monrovia,75,LR,1523125800,79,6.33,-10.8,84.2,9.17
165,kruisfontein,32,ZA,1523127342,86,-34.0,24.73,66.25,20.04
166,lensk,20,RU,1523127343,72,60.71,114.91,12.07,2.37
167,sheltozero,0,RU,1523127343,70,61.37,35.37,31.87,18.03
168,puerto leguizamo,36,CO,1523127343,71,-0.19,-74.78,86.95,3.27
169,gamba,64,CN,1523127344,61,28.28,88.52,12.33,2.48
170,casma,36,PE,1523127344,90,-9.47,-78.3,70.66,7.18
171,ust-ilimsk,76,RU,1523127344,83,57.96,102.73,29.44,2.59
172,corinto,36,BR,1523127345,75,-18.36,-44.46,79.39,7.18
173,gat,0,SN,1523124000,31,14.69,-16.54,100.4,9.17
174,umm lajj,0,SA,1523127127,92,25.02,37.27,72.0,4.16
175,kayerkan,88,RU,1523127345,63,69.35,87.76,-3.42,8.97
176,saint-philippe,75,CA,1523124900,55,45.36,-73.48,37.4,24.16
177,loon,36,NL,1523125500,59,53.01,6.61,64.4,5.82
178,phonhong,100,LA,1523127346,100,18.5,102.42,61.2,3.71
179,lawigan,88,PH,1523127347,100,10.49,122.04,80.47,17.02
180,abu samrah,8,SY,1523127347,34,35.3,37.18,66.6,8.3
181,sept-iles,75,CA,1523124000,50,50.2,-66.38,28.4,11.41
182,comodoro rivadavia,75,AR,1523124000,42,-45.87,-67.48,66.2,12.75
183,bourail,0,NC,1523127348,94,-21.57,165.5,68.95,5.28
184,pervomayskoye,36,RU,1523127348,96,57.07,86.23,30.33,5.17
185,hithadhoo,8,MV,1523127359,100,-0.6,73.08,85.6,4.94
186,touros,76,BR,1523127349,89,-5.2,-35.46,81.91,6.96
187,hofn,24,IS,1523127350,100,64.25,-15.21,36.63,5.95
188,henderson,1,US,1523125620,32,36.04,-114.98,84.2,17.22
189,cauquenes,32,CL,1523127350,80,-35.97,-72.32,56.89,5.39
190,lata,12,IN,1523127361,100,30.78,78.62,42.94,1.7
191,romanovka,0,RU,1523127351,88,51.74,42.76,31.95,9.64
192,bontang,32,ID,1523127361,100,0.12,117.47,79.57,5.06
193,heiligenhafen,0,DE,1523125200,38,54.37,10.98,60.8,3.36
194,torbay,90,CA,1523124000,93,47.66,-52.73,42.8,21.92
195,norman wells,5,CA,1523124000,60,65.28,-126.83,8.6,4.7
196,northam,40,GB,1523125200,87,51.04,-4.21,50.0,4.7
197,emet,36,TR,1523127353,93,39.34,29.26,48.97,2.48
198,lompoc,90,US,1523126100,100,34.64,-120.46,64.4,14.99
199,taksimo,12,RU,1523127354,79,56.36,114.84,6.22,1.81
200,yenagoa,8,NG,1523127364,70,4.92,6.26,82.81,7.74
201,yabassi,40,CM,1523124000,83,4.46,9.97,82.4,1.12
202,noumea,0,NC,1523125800,88,-22.28,166.46,68.0,2.24
203,shimoda,0,JP,1523127356,100,34.7,138.93,50.13,28.66
204,tura,48,IN,1523127366,95,25.52,90.21,68.77,1.25
205,lodhikheda,75,IN,1523125800,25,21.58,78.83,89.6,4.7
206,bethel,1,US,1523123580,72,60.79,-161.76,10.4,11.41
207,namibe,0,AO,1523127359,100,-15.19,12.15,79.12,5.73
208,kalmunai,68,LK,1523127369,97,7.42,81.82,76.87,3.15
209,jardim,8,BR,1523127370,35,-21.48,-56.15,93.33,4.27
210,vanavara,88,RU,1523127371,92,60.35,102.28,26.1,5.84
211,scarborough,92,GB,1523123400,81,54.28,-0.41,51.8,1.12
212,tsaratanana,36,MG,1523127362,88,-16.8,47.65,72.55,10.31
213,luderitz,0,NA,1523127372,69,-26.65,15.16,63.64,14.9
214,ballina,75,IE,1523124000,93,54.11,-9.15,48.2,4.7
215,baykit,68,RU,1523127373,77,61.68,96.39,16.57,4.72
216,port elizabeth,90,US,1523123760,30,39.31,-74.98,44.6,10.29
217,sao felix do xingu,24,BR,1523127364,68,-6.64,-51.99,85.77,2.82
218,puerto ayora,20,EC,1523124000,65,-0.74,-90.35,82.4,14.99
219,jaisalmer,0,IN,1523127375,55,26.91,70.91,72.64,3.04
220,chuy,20,UY,1523127365,70,-33.69,-53.46,81.72,9.86
221,mahebourg,40,MU,1523124000,83,-20.41,57.7,78.8,16.11
222,petropavlovsk-kamchatskiy,90,RU,1523124000,86,53.05,158.65,30.2,13.42
223,ponta do sol,48,BR,1523127376,81,-20.63,-46.0,76.5,9.98
224,derbent,0,RU,1523127367,90,42.06,48.29,41.67,2.93
225,katherine,76,AU,1523125800,82,-14.47,132.26,68.0,4.7
226,clyde river,75,CA,1523124000,70,70.47,-68.59,-2.21,13.87
227,cururupu,92,BR,1523127378,100,-1.82,-44.87,74.97,4.61
228,dingle,36,PH,1523127379,95,11.0,122.67,74.52,11.43
229,cayenne,0,GF,1523125800,69,4.94,-52.33,82.4,10.29
230,kamenka,12,RU,1523127380,93,53.19,44.05,33.94,13.11
231,vytegra,0,RU,1523127370,71,61.01,36.45,31.24,19.26
232,yelatma,68,RU,1523127370,84,54.97,41.75,36.1,16.91
233,labe,24,NG,1523127381,50,7.7,8.47,91.35,5.84
234,vestmannaeyjar,0,IS,1523124000,69,63.44,-20.27,37.4,5.82
235,iquique,0,CL,1523124000,64,-20.22,-70.14,71.6,19.46
236,puro,56,PH,1523127372,86,13.13,123.76,77.14,12.55
237,saiha,20,IN,1523127373,82,22.49,92.98,66.52,2.26
238,grafton,100,AU,1523127373,93,-29.69,152.93,66.6,2.59
239,port blair,64,IN,1523127384,100,11.67,92.75,83.25,10.42
240,bastia,0,IT,1523125200,63,44.6,8.98,60.8,3.36
241,erzin,0,TR,1523125200,63,36.95,36.2,66.2,8.05
242,narsaq,90,GL,1523123400,86,60.91,-46.05,28.4,10.29
243,lodwar,64,KE,1523127375,95,3.12,35.6,75.25,2.04
244,jalalabad,75,AF,1523123700,39,34.43,70.46,80.6,3.36
245,butaritari,100,KI,1523127376,100,3.07,172.79,82.72,9.19
246,mount darwin,8,ZW,1523127386,46,-16.77,31.58,78.22,10.42
247,sidney,1,US,1523126100,37,47.72,-104.16,33.8,11.41
248,karratha,0,AU,1523127377,73,-20.74,116.85,77.95,6.85
249,chipata,8,ZM,1523127378,75,-13.64,32.65,70.39,7.29
250,geraldton,90,CA,1523124000,52,49.72,-86.95,15.8,11.41
251,bartica,90,GY,1523124000,100,6.41,-58.62,73.4,9.17
252,yangjiang,20,CN,1523127379,100,21.85,111.96,65.8,18.37
253,nuuk,75,GL,1523123400,35,64.17,-51.74,42.8,17.22
254,worland,1,US,1523123580,52,44.02,-107.96,42.8,4.7
255,hambantota,8,LK,1523127379,100,6.12,81.12,78.85,3.38
256,rio gallegos,40,AR,1523124000,46,-51.62,-69.22,50.0,23.04
257,bar harbor,40,US,1523123760,38,44.39,-68.2,42.8,10.29
258,chokurdakh,0,RU,1523127391,64,70.62,147.9,-3.42,5.95
259,pisco,0,PE,1523124000,73,-13.71,-76.2,75.2,9.17
260,griffith,0,AU,1523127392,66,-34.29,146.06,49.87,2.82
261,nikolskoye,0,RU,1523124000,59,59.7,30.79,35.6,4.47
262,kolokani,100,ML,1523127393,25,13.58,-8.03,98.56,2.93
263,santa maria da vitoria,12,BR,1523127393,86,-13.39,-44.19,81.37,5.5
264,sitka,44,US,1523127394,77,37.17,-99.65,29.7,4.83
265,singaraja,12,ID,1523127384,100,-8.11,115.08,69.94,2.04
266,phangnga,20,TH,1523125800,78,8.45,98.53,78.8,2.24
267,sarakhs,44,TM,1523124000,48,36.54,61.16,60.8,4.7
268,bereznik,100,RU,1523127385,85,62.86,42.71,32.67,16.69
269,dikson,88,RU,1523127396,80,73.51,80.55,-1.08,24.29
270,champerico,40,MX,1523123280,43,16.38,-93.6,89.6,9.17
271,klyuchi,80,RU,1523127397,89,52.25,79.17,41.4,6.4
272,haines junction,44,CA,1523127387,88,60.75,-137.51,20.17,2.71
273,klaksvik,0,FO,1523125200,59,62.23,-6.59,37.4,8.05
274,rocha,68,UY,1523127399,64,-34.48,-54.34,76.6,9.64
275,puerto del rosario,20,ES,1523125800,48,28.5,-13.86,66.2,19.46
276,bagdarin,0,RU,1523127390,66,54.44,113.59,5.05,2.48
277,bilma,0,NE,1523127390,14,18.69,12.92,80.37,6.62
