,Compound,Negative,Neutral,Positive,Time Stamp,Tweet,Tweet_Ago,User
39,-0.34,0.324,0.676,0.0,02-23-2018 17:36:29,Doping whistleblower in Olympics warning https://t.co/oQ71feb6zr,39,@BBCWorld
40,-0.6597,0.474,0.526,0.0,02-23-2018 14:29:07,Armed teacher's fear? 'Missing and hitting a student' https://t.co/7WUEA5uESi,40,@BBCWorld
41,0.0,0.0,1.0,0.0,02-23-2018 07:22:56,Florida armed school guard 'never went in' https://t.co/ZflbbA87pm,41,@BBCWorld
42,0.1531,0.0,0.849,0.151,02-22-2018 18:21:16,Justin Trudeau rescinds India dinner invite to Sikh separatist https://t.co/NrPcP0M41O,42,@BBCWorld
43,0.0,0.0,1.0,0.0,02-22-2018 13:56:51,"Don't look down! 😣

World's longest glass bridge visited by thousands in China every day https://t.co/AJvHVZga2h",43,@BBCWorld
44,0.4019,0.0,0.69,0.31,02-22-2018 08:42:35,Justin Trudeau's 'Bollywood' wardrobe amuses Indians https://t.co/gAc8JxXSRl,44,@BBCWorld
45,0.0516,0.19,0.603,0.207,02-21-2018 23:13:42,Trump endorses guns for teachers to stop shootings https://t.co/iyweXTRjyk,45,@BBCWorld
46,-0.0772,0.219,0.584,0.197,02-21-2018 16:13:22,Pakistani ex-PM Nawaz Sharif banned from leading his party https://t.co/DFYafdRA3V,46,@BBCWorld
47,0.0,0.0,1.0,0.0,02-21-2018 10:13:01,FaceTime chat 'saves woman's life' https://t.co/9gnHAYsLJY,47,@BBCWorld
48,0.0,0.0,1.0,0.0,02-21-2018 00:34:23,Face to face with a crocodile while collecting its eggs https://t.co/6ImZUCozBu,48,@BBCWorld
49,-0.2023,0.265,0.735,0.0,02-20-2018 16:16:46,Lawyer charged in Trump-Russia inquiry https://t.co/zl4YqL8u2V,49,@BBCWorld
50,0.0,0.0,1.0,0.0,02-20-2018 12:00:56,The Russian guns for hire dying in Syria https://t.co/UXXWonhlVb,50,@BBCWorld
51,0.0,0.0,1.0,0.0,02-20-2018 04:42:48,Mexico investigates disappearance of three Italians https://t.co/tPU6TO1NqQ,51,@BBCWorld
52,-0.4939,0.39,0.61,0.0,02-19-2018 15:25:12,Deadly rubbish collapse in Mozambique https://t.co/ut8Tp68bqV,52,@BBCWorld
